Name,Author,Author Profile,Post
Installing and Configuring the OpenTelemetry Collector,Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,https://scoutapm.com/blog/configuring-opentelemetry-collector
How to Increase PHP Memory Limits,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/increase-php-memory-limit
Popular Python Design Patterns,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/python-design-patterns
How to Optimize Laravel Application Performance,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/optimize-laravel-performance
Error Monitoring - The Necessary Application Feature,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/importance-of-error-monitoring
Get Started with Python Error Reporting,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/get-started-python-error-reporting
Monolithic Applications: A Relic of the Past?,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/monolithic-applications
Why API Monitoring is a Business Necessity,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/api-monitoring
How to Combat Python Memory Leaks,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/how-to-combat-python-memory-leaks
Instrumenting Your Custom Application Code with OpenTelemetry,Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,https://scoutapm.com/blog/instrumenting-with-opentelemetry
How to Improve Flask Performance,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/improving-flask-performance
Flask vs. Django - Which One Outperforms the Other?,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/flask-vs-django
A Primer on Cloud Architecture,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/cloud-architecture
Configuring OpenTelemetry in Python,Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,https://scoutapm.com/blog/configuring-opentelemetry-python
"Kubernetes Basics: Clusters, Pods, and Nodes",Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/kubernetes-101
The Real Benefits of HTTP Monitoring for Businesses,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/http-monitoring
A Comprehensive Guide to Migrating from Python 2 to Python 3,Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,https://scoutapm.com/blog/python-2-to-python-3
10 Popular Design Patterns for Ruby on Rails,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/rails-design-patterns
What is OpenTelemetry and Why is Scout All In?,Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,https://scoutapm.com/blog/what-is-opentelemetry
Configuring OpenTelemetry in Ruby,Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,https://scoutapm.com/blog/configuring-opentelemetry-in-ruby
What is Cloud-Native Monitoring?,Scout APM ,https://scoutapm.com/blog/author/scout-apm,https://scoutapm.com/blog/cloud-native-monitoring
How to Manage Ruby Memory Usage,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/manage-ruby-memory-usage
Getting Started with Prometheus and Grafana,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/prometheus-grafana
The Business Case for Docker Adoption,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/docker-adoption
OpenTelemetry and Distributed Tracing in JavaScript,Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,https://scoutapm.com/blog/opentelemetry-in-javascript
Canary Testing - What It Is And Why You Should Use It,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/canary-testing
Distributed Monoliths vs. Microservices: Which Are You Building?,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/distributed-monoliths-vs-microservices
End-User Monitoring: How it Can Impact Your Business,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/what-is-end-user-monitoring
Azure vs. AWS vs. GCP: A Direct Comparison,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/azure-vs-aws-vs-gcp
Prometheus Architecture Explained,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/prometheus-architecture
.NET Core vs. .NET Framework: Side-by-Side Comparison,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/net-core-vs-net-framework
Express vs. Hapi: A Head-to-Head Comparison,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/express-vs-hapi
SOA vs. Microservices: A Head-to-Head Comparison,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/soa-vs-microservices
What are Script Errors and How Can We Address Them?,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/script-errors
A Developer’s Guide to Web Application Architecture,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/web-application-architecture
A Primer on Prometheus Metrics,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/prometheus-metrics
Monolithic vs. Microservices Architecture: A Side-by-Side Comparison,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/monolithic-vs-microservices
The Developer’s Guide to SOLID Design Principles,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/solid-design-principles
How to Use the Delegate Method in Rails,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/delegate-rails
Node.js Module Exports Explained,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/nodejs-module-exports
What is Full Cycle Software Development?,Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,https://scoutapm.com/blog/full-cycle-development
PHP Handlers | Why They Matter,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/php-handlers
Ruby Flip Flop: What It Is and When to Use It,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/ruby-flip-flop
How to Use Ruby BEGIN and END Blocks,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/ruby-begin-end
Monitoring Kubernetes with Prometheus,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/monitoring-kubernetes-prometheus
Logging and Monitoring: A Match Made in Software Heaven,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/logging-monitoring
8 Dynatrace Alternatives to Consider in 2021,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/8-dynatrace-alternatives-to-consider-in-2021
Getting Started with Docker: A Tutorial,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/getting-started-with-docker-a-tutorial
Dynatrace vs. SolarWinds vs. Scout,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/dynatrace-vs-solarwinds-vs-scout
Encapsulation in OOP: Definition and Examples,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/what-is-encapsulation
What is Prometheus? The Essential Guide,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/what-is-prometheus
A Comprehensive Cloud Migration Checklist,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/cloud-migration-checklist
Premature Optimization: Root of All Evil or Rationalization?,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/premature-optimization
What is SDLC? An Intro to the Software Development Lifecycle,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/sdlc
How to Retry in Ruby,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/ruby-retry
Kubernetes: Weighing Advantages and Disadvantages,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/kubernetes-advantages-disadvantages
What is Agile Methodology and How Does it Work?,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/agile-methodology
Concrete Steps to Reducing MTTR,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/reduce-mttr
Alternatives to Using GitHub in 2021,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/github-alternatives
How to Create a Ruby Function on AWS Lambda,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/aws-lambda-rails
Should You Use Rails Concerns?,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/rails-concerns
PHP vs. Python: Is One Better Than The Other?,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/php-vs-python
A Guide to Error Handling in Express.js,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/express-error-handling
A Guide to Application Monitoring Best Practices,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/application-monitoring-best-practices
Observability vs Monitoring: Key Differences Explained,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/observability-vs-monitoring
Functional vs. Procedural vs. Object-Oriented Programming,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/functional-vs-procedural-vs-oop
Comparing Top Container Software Options for 2021,Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,https://scoutapm.com/blog/container-service-tools
30 World-Class JS and Node.JS Developers to Follow in 2021,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/node-js-developers
The Complete Guide to Microservices,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/microservices
How to Steer Clear of Application Performance Bottlenecks,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/performance-bottlenecks
15 Tips for Better Python Performance,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/python-performance-tips
Container Monitoring: Essential Tools + Best Practices,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/container-monitoring
What is a Docker Container?,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/what-is-a-docker-container
The State of Ruby on Rails in 2021,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/state-of-ruby
4 Best Practices for Root Cause Analysis,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/root-cause-analysis
Set up a CI/CD Pipeline with Cloud-Native Tools,Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,https://scoutapm.com/blog/ci-cd-pipelines
How Common Application Issues Kill Performance,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/how-common-application-issues-kill-performance
How to Optimize Docker Performance,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/docker-performance
The Essential Guide to PHP Error Logging,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/php-error-logging
How (and Why) to Use Ruby Enumerators,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-enumerator
How To Detect and Prevent Memory Leaks,Emmanuel Christian,https://scoutapm.com/blog/author/emmanuel-christian,https://scoutapm.com/blog/memory-leaks
How to Identify and Debug Memory Bloat,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/memory-bloat
"The Top Features of Eloquent, Laravel’s ORM",Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/laravel-eloquent-features
Types in Ruby 3: New Features Explained,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-3-typing
8 Crucial Database Performance Metrics,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/database-performance-metrics
Ractor: Ruby’s Version of the Actor Model,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-ractor
3 Ways to Reuse Twig Templates in Symfony,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/3-ways-to-reuse-twig-templates-in-symfony
Python Memory Management: The Essential Guide,Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,https://scoutapm.com/blog/python-memory-management
Container Orchestration Tools Explained,Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,https://scoutapm.com/blog/container-orchestration-tools-explained
Latest Ruby Versions Updated in Real Time,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-3-features
Python Garbage Collection: A Guide for Developers,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/python-garbage-collection
Performance Impact of Using Ruby on Rails View Partials,Pawel Urbanek,https://scoutapm.com/blog/author/pawel-urbanek,https://scoutapm.com/blog/performance-impact-of-using-ruby-on-rails-view-partials
Setting Up TailwindCSS on Laravel,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/tailwind-css-laravel
How to Monitor Kubernetes Applications,Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,https://scoutapm.com/blog/monitoring-kubernetes
The 9 Most Popular PHP Frameworks for Developers,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/popular-php-frameworks-for-developers
A Guide to Using Nested Routes in Ruby,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/rails-nested-routes
How to Use Docker’s Health Check Command,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/how-to-use-docker-healthcheck
Log Analysis: What Is It and How Does It Work?,Jake Stinson,https://scoutapm.com/blog/author/jake-stinson,https://scoutapm.com/blog/log-analysis-what-is-it-and-how-does-it-work
Kubernetes vs. Docker,Jeremy Hillpot,https://scoutapm.com/blog/author/jeremy-hillpot,https://scoutapm.com/blog/kubernetes-vs-docker
An Introduction to Kubernetes and Its Uses,Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,https://scoutapm.com/blog/kubernetes-uses-and-introduction
Finding and Fixing N+1 Queries,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/finding-and-fixing-n1-queries
Application Performance Monitoring - What is APM?,Matt Sanders,https://scoutapm.com/blog/author/matt-sanders,https://scoutapm.com/blog/application-performance-monitoring-what-is-apm
How Containerized Applications Increase Speed & Efficiency,Emmanuel Christian,https://scoutapm.com/blog/author/emmanuel-christian,https://scoutapm.com/blog/how-containerized-applications-work
Asynchronous Javascript: From Promises to Async/Await,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/async-javascript
